epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,3096.24,0.92372,1.12495,0.89868,1.19478,0,0.69478,0.63716,0.67961,0.45267,0.61545,0.52871,0.51577,0.18294,1.23834,1.11256,1.18247,1.26663,0,0.001505,0.001505,0.001505
52,3173.28,0.92521,1.07155,0.8701,1.20439,0,0.74434,0.5933,0.68612,0.45245,0.6588,0.47847,0.50377,0.16919,1.20729,1.15786,1.16764,1.24511,0,0.00148694,0.00148694,0.00148694
53,3228.41,0.9036,1.10171,0.86455,1.18287,0,0.68325,0.64833,0.68642,0.45784,0.66516,0.48325,0.52376,0.1819,1.22322,1.11597,1.1847,1.23595,0,0.00146866,0.00146866,0.00146866
54,3284.04,0.93211,1.11756,0.88703,1.18893,0,0.7143,0.62201,0.68268,0.45649,0.62904,0.5311,0.51703,0.18107,1.23305,1.09945,1.16983,1.26529,0,0.00145019,0.00145019,0.00145019
55,3339.39,0.90042,1.05883,0.84074,1.17794,0,0.66661,0.64354,0.66817,0.44777,0.58665,0.51675,0.49695,0.17446,1.21097,1.10767,1.1472,1.25403,0,0.00143152,0.00143152,0.00143152
56,3394.78,0.89068,1.07667,0.83718,1.17987,0,0.7285,0.57772,0.67615,0.45953,0.65062,0.49896,0.5201,0.18106,1.20044,1.10508,1.1537,1.26204,0,0.00141267,0.00141267,0.00141267
57,3450.15,0.89541,1.1131,0.84435,1.16434,0,0.75117,0.60526,0.70061,0.4654,0.6738,0.53589,0.57495,0.19524,1.22417,1.05304,1.10885,1.24852,0,0.00139364,0.00139364,0.00139364
58,3505.59,0.88413,1.07839,0.85382,1.16889,0,0.70944,0.61332,0.67537,0.45619,0.62048,0.52153,0.51844,0.18018,1.23605,1.14225,1.12295,1.28109,0,0.00137444,0.00137444,0.00137444
59,3561.51,0.87286,1.06861,0.84465,1.15904,0,0.68822,0.62679,0.68597,0.46097,0.59171,0.54785,0.52941,0.18364,1.2004,1.17961,1.11014,1.27976,0,0.00135509,0.00135509,0.00135509
60,3640.8,0.89703,1.10384,0.8481,1.17385,0,0.7421,0.59809,0.68802,0.46724,0.6593,0.50478,0.52405,0.18838,1.21759,1.10288,1.12356,1.24771,0,0.00133558,0.00133558,0.00133558
61,3742.48,0.86244,1.07541,0.82407,1.1471,0,0.75693,0.63158,0.71678,0.48279,0.64488,0.50478,0.5369,0.18605,1.21875,1.09137,1.06599,1.26669,0,0.00131593,0.00131593,0.00131593
62,3797.72,0.88211,1.10225,0.82236,1.14783,0,0.6734,0.63158,0.68939,0.46356,0.67046,0.48086,0.51791,0.18246,1.20009,1.09066,1.09325,1.26213,0,0.00129614,0.00129614,0.00129614
63,3869.8,0.87726,1.06108,0.81192,1.1673,0,0.70352,0.66507,0.69815,0.47955,0.65033,0.53392,0.53166,0.18462,1.21582,1.11561,1.07262,1.26727,0,0.00127623,0.00127623,0.00127623
64,3924.9,0.85983,1.05625,0.80965,1.14802,0,0.67913,0.64354,0.70698,0.47968,0.64467,0.48086,0.51968,0.19003,1.14026,1.09188,1.0839,1.20605,0,0.0012562,0.0012562,0.0012562
65,3999.28,0.85268,1.04497,0.80937,1.14987,0,0.67733,0.62773,0.68451,0.46709,0.60365,0.55024,0.53922,0.18492,1.14917,1.09064,1.08291,1.23521,0,0.00123607,0.00123607,0.00123607
66,4064.04,0.86698,1.08093,0.83154,1.15453,0,0.67396,0.66507,0.69435,0.47984,0.59035,0.54545,0.52877,0.18878,1.15236,1.09971,1.0815,1.23662,0,0.00121583,0.00121583,0.00121583
67,4119.31,0.84649,1.07705,0.79398,1.14395,0,0.68422,0.64115,0.6927,0.48063,0.58465,0.54785,0.51881,0.18539,1.1227,1.093,1.06861,1.19593,0,0.00119551,0.00119551,0.00119551
68,4226.84,0.84091,1.06236,0.7909,1.14954,0,0.70323,0.64354,0.70968,0.49024,0.63628,0.54067,0.56132,0.19466,1.13599,1.07597,1.06533,1.17647,0,0.0011751,0.0011751,0.0011751
69,4289.7,0.8142,1.04414,0.76252,1.12398,0,0.70276,0.6244,0.69455,0.47968,0.65379,0.53828,0.56068,0.18933,1.1419,1.07504,1.06257,1.21884,0,0.00115462,0.00115462,0.00115462
70,4364.51,0.84017,1.07669,0.80289,1.1385,0,0.66398,0.66656,0.70726,0.48281,0.60623,0.54067,0.53488,0.18034,1.15812,1.13549,1.05964,1.2239,0,0.00113408,0.00113408,0.00113408
71,4449.76,0.83814,1.06701,0.80812,1.13363,0,0.67635,0.69992,0.71131,0.48841,0.62676,0.57448,0.55402,0.19999,1.14244,1.08227,1.07449,1.20234,0,0.00111348,0.00111348,0.00111348
72,4505.12,0.84103,1.04052,0.79032,1.1505,0,0.7015,0.67943,0.71088,0.48156,0.63396,0.54067,0.53671,0.18835,1.15342,1.09381,1.07929,1.23271,0,0.00109284,0.00109284,0.00109284
73,4560.56,0.82252,1.05677,0.76668,1.13381,0,0.7385,0.6555,0.72094,0.50407,0.64373,0.54067,0.5597,0.1949,1.11436,1.11063,0.99986,1.2046,0,0.00107216,0.00107216,0.00107216
74,4615.95,0.81691,1.04586,0.76864,1.12294,0,0.67022,0.70574,0.71594,0.49277,0.66478,0.54558,0.56465,0.1961,1.14431,1.08826,1.03455,1.21798,0,0.00105146,0.00105146,0.00105146
75,4679.1,0.83883,1.0636,0.77926,1.14437,0,0.72022,0.64049,0.71107,0.49978,0.66975,0.57416,0.58673,0.20889,1.09506,1.05206,1.01798,1.18557,0,0.00103073,0.00103073,0.00103073
76,4734.51,0.82414,1.03456,0.77918,1.11817,0,0.71688,0.66507,0.71609,0.50216,0.66051,0.5311,0.54299,0.19518,1.11704,1.08544,1.02791,1.20659,0,0.00101,0.00101,0.00101
77,4789.89,0.83562,1.03067,0.7885,1.13955,0,0.70681,0.65072,0.71754,0.49942,0.62544,0.55263,0.5485,0.19428,1.14883,1.07045,1.031,1.20464,0,0.000989267,0.000989267,0.000989267
78,4858.31,0.80335,1.00867,0.75868,1.12069,0,0.72259,0.66676,0.71317,0.49876,0.65563,0.53349,0.56454,0.19796,1.12974,1.09066,1.0452,1.20804,0,0.000968543,0.000968543,0.000968543
79,4913.6,0.80769,1.02041,0.74965,1.11906,0,0.7081,0.67464,0.73401,0.51215,0.68615,0.50718,0.55252,0.20085,1.10763,1.0857,0.97683,1.1872,0,0.000947837,0.000947837,0.000947837
80,4968.79,0.81164,1.05383,0.76271,1.1153,0,0.72083,0.66986,0.72113,0.50201,0.68172,0.55024,0.56251,0.20349,1.11533,1.08019,1.00298,1.20596,0,0.000927159,0.000927159,0.000927159
81,5025.1,0.82145,1.04215,0.77341,1.11577,0,0.7854,0.67225,0.74661,0.52179,0.67639,0.57895,0.59685,0.20781,1.0768,1.06745,0.96753,1.163,0,0.000906517,0.000906517,0.000906517
82,5083.69,0.79936,1.01253,0.73673,1.12021,0,0.72049,0.68449,0.73583,0.51956,0.72475,0.5311,0.60043,0.21202,1.09727,1.06809,1.00757,1.14871,0,0.00088592,0.00088592,0.00088592
83,5139.05,0.78655,0.99758,0.72875,1.11149,0,0.71542,0.68182,0.71194,0.49222,0.68819,0.51435,0.54379,0.19281,1.11542,1.10093,1.04475,1.2156,0,0.000865378,0.000865378,0.000865378
84,5194.48,0.81782,1.03672,0.76164,1.12108,0,0.77326,0.63158,0.72138,0.50833,0.63192,0.55981,0.54942,0.20095,1.09622,1.06507,1.05784,1.16529,0,0.000844899,0.000844899,0.000844899
