epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,1615.58,0.83123,1.10879,0.77351,1.02571,0,0.76504,0.71664,0.75759,0.58564,0.75634,0.57895,0.62317,0.25003,0.88099,1.0876,0.95182,1.01929,0,0.0008516,0.0008516,0.0008516
60,1630.94,0.84207,1.15937,0.79339,1.03724,0,0.74474,0.67225,0.73706,0.56289,0.71518,0.54306,0.55933,0.2365,0.90198,1.12112,1.03262,1.02326,0,0.0008318,0.0008318,0.0008318
61,1646.18,0.81621,1.14897,0.79645,1.01679,0,0.74234,0.68926,0.74246,0.56763,0.7628,0.5933,0.65599,0.2563,0.89501,1.0587,1.01015,1.02568,0,0.000812,0.000812,0.000812
62,1661.48,0.83284,1.13852,0.78912,1.03596,0,0.79411,0.68182,0.75362,0.57346,0.705,0.60048,0.62754,0.23816,0.89493,1.09177,0.98752,1.02928,0,0.0007922,0.0007922,0.0007922
63,1676.63,0.81872,1.1296,0.78106,1.02685,0,0.84465,0.65038,0.75414,0.57438,0.7483,0.56188,0.60789,0.23577,0.87594,1.11184,0.988,1.02279,0,0.0007724,0.0007724,0.0007724
64,1691.91,0.81675,1.13356,0.77556,1.02789,0,0.82632,0.64593,0.76076,0.58939,0.76185,0.56699,0.62455,0.24299,0.83389,1.11177,0.93982,0.99216,0,0.0007526,0.0007526,0.0007526
65,1707.14,0.82427,1.10906,0.79237,1.02694,0,0.7936,0.68067,0.76508,0.58082,0.74891,0.57416,0.64296,0.25068,0.90672,1.06388,0.95472,1.04182,0,0.0007328,0.0007328,0.0007328
66,1722.35,0.80733,1.10143,0.77595,1.01583,0,0.82356,0.66746,0.75925,0.58859,0.77386,0.58373,0.64346,0.24786,0.84858,1.05831,0.93648,0.99504,0,0.000713,0.000713,0.000713
67,1737.71,0.81507,1.15295,0.76667,1.02192,0,0.84626,0.67225,0.77757,0.58661,0.75188,0.58722,0.62963,0.25164,0.86357,1.05596,0.92574,0.99397,0,0.0006932,0.0006932,0.0006932
68,1752.94,0.80833,1.12227,0.76554,1.01926,0,0.80188,0.6555,0.75271,0.57838,0.77506,0.59091,0.6548,0.25383,0.85421,1.0592,0.94451,0.9967,0,0.0006734,0.0006734,0.0006734
69,1768.26,0.79994,1.11879,0.75532,1.0188,0,0.80633,0.67732,0.75732,0.5843,0.76792,0.60287,0.65439,0.25632,0.85316,1.05028,0.94402,1.00563,0,0.0006536,0.0006536,0.0006536
70,1783.53,0.79651,1.12081,0.75643,1.01701,0,0.79107,0.67703,0.76205,0.58071,0.69667,0.58793,0.6142,0.23984,0.86654,1.0654,0.94853,1.01712,0,0.0006338,0.0006338,0.0006338
71,1798.71,0.78875,1.09638,0.74733,1.01242,0,0.81154,0.67994,0.7712,0.59105,0.76971,0.59171,0.65228,0.25928,0.84493,1.06398,0.90977,0.99846,0,0.000614,0.000614,0.000614
72,1814,0.78479,1.10927,0.75121,1.00903,0,0.83164,0.66507,0.75212,0.57353,0.74524,0.59486,0.61584,0.25109,0.8683,1.08819,0.9574,1.00505,0,0.0005942,0.0005942,0.0005942
73,1829.2,0.78018,1.09792,0.74313,1.01109,0,0.80497,0.67703,0.75604,0.57253,0.74685,0.58581,0.64146,0.25011,0.87318,1.0442,0.96231,1.01332,0,0.0005744,0.0005744,0.0005744
74,1844.37,0.80161,1.09989,0.72833,1.01323,0,0.82423,0.67464,0.75561,0.57519,0.77223,0.60287,0.64482,0.24711,0.87787,1.06757,0.95759,1.00272,0,0.0005546,0.0005546,0.0005546
75,1859.65,0.78646,1.1179,0.7262,1.01421,0,0.81757,0.66268,0.74429,0.57218,0.70884,0.57416,0.59107,0.23267,0.86843,1.12232,0.95851,1.0178,0,0.0005348,0.0005348,0.0005348
76,1874.98,0.76604,1.08783,0.72038,1.0028,0,0.81129,0.73206,0.7868,0.60075,0.74245,0.64354,0.66937,0.25983,0.85883,1.04254,0.89802,1.01581,0,0.000515,0.000515,0.000515
77,1890.31,0.78877,1.10145,0.74247,1.01662,0,0.82743,0.67675,0.76534,0.58288,0.7585,0.61962,0.64267,0.25972,0.86255,1.06303,0.91789,1.01784,0,0.0004952,0.0004952,0.0004952
78,1905.46,0.76325,1.09073,0.71865,1.00322,0,0.76613,0.74641,0.77223,0.59548,0.72323,0.61962,0.63963,0.25176,0.84197,1.05493,0.91001,1.00863,0,0.0004754,0.0004754,0.0004754
79,1920.62,0.8053,1.07001,0.72875,1.02131,0,0.7774,0.70574,0.775,0.59808,0.70006,0.59091,0.6222,0.25583,0.83434,1.07045,0.92507,0.99491,0,0.0004556,0.0004556,0.0004556
80,1935.86,0.77274,1.08773,0.71522,1.0068,0,0.79405,0.69178,0.76699,0.5892,0.76231,0.57177,0.63702,0.25221,0.84302,1.06166,0.92479,0.99662,0,0.0004358,0.0004358,0.0004358
81,1951.19,0.75296,1.06635,0.67575,1.00214,0,0.81649,0.67057,0.7607,0.58492,0.73788,0.55898,0.57666,0.23062,0.84428,1.1272,0.92609,1.00726,0,0.000416,0.000416,0.000416
82,1966.42,0.75852,1.09697,0.72026,0.99673,0,0.84007,0.69117,0.78074,0.60445,0.73006,0.60287,0.617,0.24692,0.83558,1.09809,0.90125,0.99352,0,0.0003962,0.0003962,0.0003962
83,1981.67,0.78802,1.11408,0.72275,1.00664,0,0.84457,0.68895,0.78899,0.61022,0.72907,0.6244,0.65256,0.25842,0.82201,1.05925,0.88297,0.97795,0,0.0003764,0.0003764,0.0003764
84,1996.83,0.75935,1.07062,0.70556,1.00358,0,0.81727,0.71053,0.78556,0.60483,0.7403,0.61377,0.64137,0.25556,0.83963,1.05484,0.89905,0.98865,0,0.0003566,0.0003566,0.0003566
85,2012.1,0.75624,1.05793,0.72679,0.9953,0,0.79263,0.71326,0.77922,0.6015,0.70855,0.61005,0.63879,0.25499,0.819,1.03049,0.89749,0.98542,0,0.0003368,0.0003368,0.0003368
86,2027.3,0.74292,1.05478,0.69362,0.99602,0,0.80489,0.7106,0.78977,0.61494,0.70173,0.61244,0.61974,0.24666,0.78252,1.08557,0.87564,0.97589,0,0.000317,0.000317,0.000317
87,2042.44,0.77309,1.08146,0.70965,1.0123,0,0.82139,0.69617,0.78875,0.61142,0.75714,0.61005,0.6525,0.2632,0.80276,1.04214,0.87965,0.98327,0,0.0002972,0.0002972,0.0002972
